"id","loss"
4,1479.44154311951
6,1946.65101225536
9,8484.58956742567
12,6271.0091985985
15,789.717404784253
17,2412.39929774555
21,1894.93105955811
28,883.084619663323
32,2735.63546647784
43,3317.78045756744
46,3185.15934342832
50,979.222798481065
54,1044.66087883249
62,1846.54938501694
70,2244.9180217396
71,5169.28202877253
75,2164.33908037074
77,2686.01740610872
81,2650.84008264036
83,2748.82612103667
87,1893.42719449264
97,1402.25695386449
103,1118.00764359494
119,1014.19743320609
120,1699.62952227861
127,964.043722084435
138,4254.54831461269
141,3841.50645954143
148,682.991574423626
150,2336.55104554827
151,2093.76280534894
158,1545.35556045915
160,5471.54636352741
165,2999.88274458979
168,4176.74206580336
169,3712.81643906172
177,2910.01020531945
178,3294.01505969056
184,2136.98647241441
194,9475.11009612645
198,1783.63664806142
203,3121.01754535381
211,2297.07424342692
217,1269.83625782269
219,1396.30870038963
221,5239.38540367076
227,1835.25859270106
230,1700.01000223308
235,2130.07763131641
240,697.690354027577
243,3121.81576788936
249,7090.31743655735
253,3136.61117541727
258,1468.20614873279
261,1664.06827808887
263,3504.74266652708
264,2337.56240733569
265,4059.47896244391
268,1846.10736328943
271,1028.21421533589
274,5409.99521325232
275,665.152331914706
279,1466.8083113139
282,1737.19057501897
286,3296.4083644307
288,1050.27972981357
294,1844.5556768631
296,905.939532248168
297,1243.15458067488
300,827.825506884799
303,8927.63974470359
314,990.785406512989
315,4783.64094144035
321,2536.44622532906
323,3674.14469117443
330,4004.02502110105
341,2016.45277789629
342,4542.19474049482
352,1409.06577129891
353,3466.19339132203
360,5353.66508046473
361,2256.92043748467
362,4852.04219869022
366,1389.30830540645
372,3612.78695324907
376,2954.5061053117
377,2165.2727557909
379,1668.29780661304
380,3640.62469060089
387,1881.63854680022
392,1995.86151579533
394,10801.5964113578
395,1538.70029142448
397,1418.91135792226
407,5736.99933169229
411,8199.97525762842
416,2295.31263237786
417,1546.1438795494
419,4120.11990607848
428,6120.54179915974
431,1799.30794786988
436,6511.52590446419
438,1702.46592957333
445,6783.82955149055
446,6780.46025326892
455,1173.56573946861
456,1368.44366030788
461,899.778814465878
463,1906.47554686162
464,3502.464506205
466,1570.1639997497
467,1365.54377470968
470,1299.5160207449
475,1509.22722931836
482,3499.88075618973
490,4306.1201962554
496,1935.40863866231
497,4242.42776020333
508,2562.32272363123
510,1816.09203948144
512,1887.69925070877
513,3451.54851970667
523,1705.74543817833
531,5693.20218919647
532,2356.24555244129
533,1384.01905811915
537,1263.34234322161
544,4321.23786625642
547,2766.71243336084
556,8247.72691011938
565,1354.70853429646
566,1161.38982474041
571,1297.08690551681
573,1631.2969536901
574,955.122204321745
581,2114.03485564519
585,2141.08980832497
589,2106.66365234411
597,1748.33398445774
601,3759.26041488555
602,1932.98659687176
613,1523.29833957486
616,1393.90822519351
619,2304.41375351578
622,1990.615696892
623,1875.2451057674
629,1651.6807339464
634,1637.3199012319
638,966.595903213934
642,1055.05348938268
643,2116.51666879708
645,942.686896916866
648,6457.57555110658
652,1108.16370463374
664,1027.61055015515
666,2066.59756976226
672,915.658921096819
676,2254.48716031802
678,4779.12310584258
682,1792.48034041604
686,2722.62645191436
688,2562.17256940701
689,1301.13714296385
690,1903.12737934668
692,13751.6502919325
695,1726.63631985901
697,3796.97458138417
698,2076.62897250109
706,2551.71614606035
708,1402.0674891855
712,2629.97141175502
715,4239.11171773808
717,1345.55627272298
725,3299.21374901037
729,1123.05387803048
737,1414.45250974252
739,6069.53106472561
747,3303.48451716261
753,2961.65908512158
758,2263.40531435746
759,2095.82654821008
763,1404.17119163134
773,3630.82117434349
774,1828.41944223296
776,1498.18120827911
788,2948.06875091513
790,2821.71936928098
794,988.370121222046
801,2932.44799105793
802,1509.51495667164
805,1265.77471635752
809,5102.45832562914
812,1629.12651680612
825,2225.51097612952
828,2437.52154854378
830,1472.15392103462
833,1105.74878477704
850,6303.0428829301
852,5571.18717068819
862,1473.04160169139
863,1250.6583378565
864,1492.08903200922
865,3653.39575372345
868,6017.90013909312
872,1542.75172871644
879,5269.70175474638
880,1518.9945565059
883,1225.97341629154
886,1283.4559492379
923,1739.94060537617
924,1498.51971998053
932,1450.18042241837
945,6016.24000228906
947,6885.49256714637
948,2082.6651934596
955,2448.91288318333
963,4254.26369508848
979,1476.03830711458
989,1537.80429023582
994,3144.46413173509
995,1869.09229232865
998,1361.70024434064
1000,4580.66463957341
1018,1706.08896916751
1019,1787.71659913835
1028,1587.11186661766
1034,1382.54385186837
1038,1642.21330526885
